[PtcServer Acquisition File]
PtcServerVersion=1.0.0.49
[PTC Status]
ID=Potenciostat [kolibrik.net] 1.4C_20161122 (PTC1, PTC-gamma-rC)
Serial=Kl-Ptc-150238
Setpoint=0
Range=15A
Feedback=Vout
OutputEnabled=0
Switches=35264
AutoCalib=3
AutoRange=0
Vout=0.000146073
Vsense=0.0001361543
Vref=-0.001683696
I=0.00571004
[ACQ CV]
Timestamp=2017-01-18 20:44:45.543
StepReduction=1
AvgOnReduction=1
ChannelMask=15
VChannel=1
Start=0
Margin1=-0.05
Margin2=0.05
End=0
Speed=50
Step=0.001
Sweeps=102
WaitFirst=10
WaitStep=2
WaitSweep=1
RelayAfterOff=1
ChannelCount=4
Channel1=Vout
Channel1Src=Tag3/Channel0
Channel2=Vsense
Channel2Src=Tag3/Channel1
Channel3=Vref
Channel3Src=Tag3/Channel2
Channel4=I
Channel4Src=Tag3/Channel3
[DataHeader]
Number	Vout	Vsense	Vref	I
[Data]
261	-0.2574528	-0.01242179	-0.001746087	-2.503696
262	-0.2584524	-0.0126046	-0.001723783	-2.513672
263	-0.2594253	-0.01262784	-0.001701775	-2.523044
264	-0.2604019	-0.01265516	-0.001689395	-2.532928
265	-0.2614455	-0.01270096	-0.001711895	-2.542562
266	-0.2624642	-0.01271705	-0.001706687	-2.55245
267	-0.2634583	-0.0127375	-0.001796425	-2.562351
268	-0.2645186	-0.01275668	-0.001730792	-2.572319
269	-0.2654079	-0.01289257	-0.001734853	-2.5821
270	-0.2664539	-0.01294031	-0.001802058	-2.591774
271	-0.2674776	-0.01297104	-0.001816895	-2.601774
272	-0.2684294	-0.01308316	-0.001806218	-2.611551
273	-0.2694933	-0.01307442	-0.001775399	-2.62141
274	-0.2704519	-0.01313086	-0.001738587	-2.631198
275	-0.2715511	-0.01316143	-0.001711436	-2.640857
276	-0.2724792	-0.01320355	-0.001710257	-2.650772
277	-0.2734148	-0.01329683	-0.001701447	-2.660601
278	-0.2744025	-0.01334857	-0.001662408	-2.670146
279	-0.2754461	-0.01335793	-0.001668107	-2.679943
280	-0.2764386	-0.01337874	-0.001702037	-2.689894
281	-0.2774876	-0.0134273	-0.00169588	-2.699761
282	-0.2784313	-0.01349586	-0.001689297	-2.709416
283	-0.2794317	-0.01356907	-0.001763805	-2.719201
284	-0.280419	-0.01369892	-0.001760497	-2.729086
285	-0.2814316	-0.01366491	-0.001691098	-2.738748
286	-0.2824419	-0.01369176	-0.001726502	-2.748582
287	-0.2834142	-0.01369153	-0.00169588	-2.758471
288	-0.284475	-0.01376554	-0.001687528	-2.768398
289	-0.2854634	-0.01385182	-0.001685989	-2.778274
290	-0.286546	-0.01381006	-0.001709504	-2.788213
291	-0.2875013	-0.0139729	-0.001732561	-2.797966
292	-0.2885024	-0.01398883	-0.00171088	-2.807802
293	-0.2893771	-0.01402419	-0.001742681	-2.816576
294	-0.2904238	-0.01406982	-0.001696436	-2.826232
295	-0.2913791	-0.01412433	-0.001728958	-2.836155
296	-0.2923795	-0.0141502	-0.001669056	-2.845909
297	-0.2933497	-0.01418569	-0.001700497	-2.855941
298	-0.294413	-0.01422473	-0.001732004	-2.865964
299	-0.2953837	-0.01429945	-0.001730858	-2.87588
