[LinearBatch Acquisition File]
[Application]
AppVersion=FC Control v2017-beta build 28.3.2017 12:00:53 - 2926
[PTC Status]
ID=VIRTUAL PTC DummyPTC 2016-02-23
[FLOW]
[FCSControl]OutputEnabled=
#Mereni provedeno: 13.12.2017 5:06:46
#Teplota: NAN deg C; Teplota okoli: 0.0
#Invert Current: FALSEInvert Voltage: FALSE
#From 0 mA to -10000 mA by step 6
#Prodleva mezi nacitanim bodu: 299.820107935239
#Fuel used: TODO
#Oxigen medium: TODO
#Anode material: -unspecified-
#Cathode material: -unspecified-
#Membrane: -unspecified-
#MEApreparation: -unspecified-
#GDL material: -unspecified- -unspecified-
#Press for hot-pressing: TODO
#Comment: 
#Osa X [A]	Osa Y [V]	Vykon [A*V]
#Osa X 
#-------------------------------------------------------------------------------------------------------------------------------------------------------
Time from start [ms]	Temperature [°C]	Current [mA]	Voltage [V]	Power [mW]	Instability [mV]	Time
73969	NAN	-1272	615.462011744244	-782.867678938679	0	5:07:59
74046	NAN	-1272	615.462011744244	-782.867678938679	0	5:08:00
74376	NAN	-1284	613.976781063288	-788.346186885262	0	5:08:00
74470	NAN	-1290	613.235163041351	-791.073360323342	0	5:08:00
74702	NAN	-1290	613.235163041351	-791.073360323342	0	5:08:00
74982	NAN	-1296	612.494201674114	-793.792485369652	0	5:08:00
75047	NAN	-1296	612.494201674114	-793.792485369652	0	5:08:01
75373	NAN	-1302	611.753890900119	-796.503565951955	0	5:08:01
75483	NAN	-1308	611.014224741447	-799.206605961813	0	5:08:01
75701	NAN	-1308	611.014224741447	-799.206605961813	0	5:08:01
75996	NAN	-1314	610.275197302196	-801.901609255085	0	5:08:01
76029	NAN	-1314	610.275197302196	-801.901609255085	0	5:08:02
76355	NAN	-1320	609.536802766983	-804.588579652418	0	5:08:02
76500	NAN	-1326	608.79903539949	-807.267520939723	0	5:08:02
76685	NAN	-1326	608.79903539949	-807.267520939723	0	5:08:02
77010	NAN	-1332	608.06188954103	-809.938436868652	0	5:08:03
77345	NAN	-1338	607.325359609159	-812.601331157055	0	5:08:03
77548	NAN	-1350	605.854125568458	-817.903069517418	0	5:08:03
77667	NAN	-1350	605.854125568458	-817.903069517418	0	5:08:03
77993	NAN	-1356	605.119410663818	-820.541920860138	0	5:08:03
78057	NAN	-1362	604.385290091573	-823.172765104722	0	5:08:04
78321	NAN	-1362	604.385290091573	-823.172765104722	0	5:08:04
78570	NAN	-1368	603.651758630621	-825.795605806689	0	5:08:04
78650	NAN	-1368	603.651758630621	-825.795605806689	0	5:08:04
78985	NAN	-1374	602.91881112836	-828.410446490367	0	5:08:04
79071	NAN	-1380	602.186442499496	-831.017290649304	0	5:08:05
79303	NAN	-1380	602.186442499496	-831.017290649304	0	5:08:05
79585	NAN	-1386	601.45464772487	-833.61614174667	0	5:08:05
79631	NAN	-1386	601.45464772487	-833.61614174667	0	5:08:05
79974	NAN	-1392	600.723421850323	-836.207003215649	0	5:08:05
80084	NAN	-1398	599.992759985572	-838.78987845983	0	5:08:06
80304	NAN	-1398	599.992759985572	-838.78987845983	0	5:08:06
80598	NAN	-1404	599.262657303123	-841.364770853585	0	5:08:06
80630	NAN	-1404	599.262657303123	-841.364770853585	0	5:08:06
80959	NAN	-1410	598.533109037196	-843.931683742446	0	5:08:06
81101	NAN	-1422	597.0756569941	-849.04158424561	0	5:08:07
81285	NAN	-1422	597.0756569941	-849.04158424561	0	5:08:07
81617	NAN	-1428	596.347743984632	-851.584578410055	0	5:08:07
81939	NAN	-1434	595.620366925099	-854.119606170592	0	5:08:07
82194	NAN	-1440	594.893521343021	-856.64667073395	0	5:08:08
82272	NAN	-1440	594.893521343021	-856.64667073395	0	5:08:08
82610	NAN	-1446	594.167202821668	-859.165775280131	0	5:08:08
82706	NAN	-1452	593.441406999139	-861.676922962749	0	5:08:08
82953	NAN	-1452	593.441406999139	-861.676922962749	0	5:08:08
83208	NAN	-1458	592.716129567458	-864.180116909354	0	5:08:09
83281	NAN	-1458	592.716129567458	-864.180116909354	0	5:08:09
83642	NAN	-1464	591.991366271691	-866.675360221756	0	5:08:09
83717	NAN	-1476	590.543365328164	-871.64200722437	0	5:08:09
83967	NAN	-1476	590.543365328164	-871.64200722437	0	5:08:09
84220	NAN	-1482	589.820119428013	-874.113416992316	0	5:08:10
84296	NAN	-1482	589.820119428013	-874.113416992316	0	5:08:10
84624	NAN	-1488	589.097371157348	-876.576888282133	0	5:08:10
84733	NAN	-1494	588.375116513769	-879.03242407157	0	5:08:10
84952	NAN	-1494	588.375116513769	-879.03242407157	0	5:08:10
